index	return	risk	AAPL	COST	HIMS	RTX	SPY	TSLA
66	0.09629800690380307	0.20646988149814124	1.4329340550165491e-23	7.674727238774402e-24	0.6072298741381232	0.39277012586187676	1.4863739938258835e-23	1.076047916427605e-23
67	0.0973945926978011	0.21010550677816275	-1.4351910669265552e-23	-1.5004319254674494e-23	0.6187819366634726	0.3812180633365274	-1.0066980909340739e-23	-7.909950750406332e-24
68	0.09849117849179913	0.21374680777702412	1.7709826942743014e-25	-1.824028206405848e-24	0.6303339991888219	0.3696660008111781	3.713976464731952e-24	3.6739459577784934e-24
69	0.09958776428579716	0.21739349929318255	-2.853936702721868e-24	1.35771858215543e-23	0.6418860617141712	0.35811393828582877	2.009522367514306e-24	7.84201727778136e-24
70	0.10068435007979518	0.22104531453688228	1.0831963922199682e-24	6.2814162311211454e-24	0.6534381242395205	0.3465618757604795	1.7619182966132476e-24	-4.983017336339467e-24
71	0.10178093587379321	0.22470200369865614	6.672048751036878e-24	6.899098717962819e-25	0.6649901867648699	0.3350098132351301	2.044410454123267e-24	1.560095218589988e-24
72	0.10287752166779124	0.22836333264642095	-9.210479745084325e-24	-3.494805463052914e-24	0.6765422492902192	0.3234577507097808	3.4121099019749285e-25	-1.1166041195468199e-23
73	0.10397410746178926	0.23202908173820858	7.442779547836746e-24	6.1621581699257126e-24	0.6880943118155683	0.31190568818443165	3.828375192825402e-24	-5.966531161267616e-25
74	0.10507069325578729	0.23569904473900627	1.1125292077926467e-23	1.1995116673485983e-23	0.6996463743409178	0.30035362565908214	6.912017284510057e-24	1.4619012623811993e-23
75	0.10616727904978532	0.23937302783143982	7.828540594262201e-24	1.0417585025225919e-25	0.7111984368662672	0.28880156313373284	1.1374850523312744e-23	2.0469823292709774e-23
76	0.10726386484378334	0.24305084871114893	1.3792657670137262e-23	-3.1431892742560398e-24	0.7227504993916164	0.27724950060838366	7.235108948797793e-24	1.5449045156026675e-23
77	0.10836045063778137	0.2467323357586835	1.008637365666305e-23	1.2768896923915216e-23	0.7343025619169656	0.2656974380830343	1.0178450502329943e-23	1.8617537088447193e-23
78	0.1094570364317794	0.25041732728061983	2.616301020938416e-24	4.4023826359092745e-24	0.7458546244423152	0.25414537555768485	-3.766533965667483e-24	-4.911615145632556e-24
79	0.11055362222577743	0.2541056708133641	2.3683374432813194e-23	1.9748068663091487e-23	0.7574066869676644	0.24259331303233553	2.245802626323736e-23	2.2038381491883734e-23
80	0.11165020801977545	0.25779722248379217	-1.7695539410843126e-23	-2.366440350295619e-23	0.7689587494930137	0.23104125050698637	-2.479909226903004e-23	-2.4859564068804715e-23
81	0.11274679381377348	0.26149184642147694	-1.6424589248940758e-24	7.769245865476822e-24	0.7805108120183629	0.21948918798163702	-3.827358807371376e-24	1.4024348744391338e-23
82	0.11384337960777151	0.26518941421779296	1.0496219766868024e-23	-4.45584655025456e-25	0.7920628745437125	0.20793712545628756	5.129829951309079e-24	-1.9793018138219505e-25
83	0.11493996540176953	0.2688898044276621	-1.033799344672811e-23	-2.3631421570939244e-23	0.8036149370690616	0.19638506293093838	-1.0370432809612983e-23	-8.973030617156785e-24
84	0.11603655119576756	0.27259290211013193	-9.294310515523522e-24	-3.3631596383585064e-24	0.815166999594411	0.18483300040558906	-2.5890893000277072e-24	3.948464803066977e-24
85	0.11713313698976559	0.2762985984043513	-2.3864286091871352e-23	-2.7297809713829805e-23	0.8267190621197603	0.17328093788023974	-1.57045750825984e-23	-9.091653702234745e-24
86	0.1182297227837636	0.28000679013784885	3.101984670526897e-25	8.88665479789622e-25	0.8382711246451096	0.1617288753548904	7.774981769896664e-24	9.874274321146483e-24
87	0.11932630857776164	0.2837173794643203	-1.080956330467551e-23	-1.7444023267490623e-23	0.8498231871704589	0.15017681282954107	-2.8817818126874793e-23	-4.472066378645451e-24
88	0.12042289437175967	0.28743027352839545	-7.223294385287395e-24	4.0515975785206335e-24	0.8613752496958083	0.13862475030419175	2.2082386593811684e-24	-7.46042479376474e-25
